Date,Open,High,Low,Close,Volume,Adj. Close
1998-07-08,1.098214,1.176339,1.095982,1.162946,233203600,0.78424
1998-07-09,1.176339,1.200893,1.122768,1.131696,141652000,0.763167
1998-07-10,1.149554,1.165179,1.133929,1.145089,75630800,0.772198
1998-07-13,1.140625,1.21875,1.138393,1.212054,178847200,0.817356
1998-07-14,1.212054,1.214286,1.183036,1.194196,137132800,0.805314
1998-07-15,1.203125,1.238839,1.196429,1.229911,148741600,0.829398
1998-07-16,1.352679,1.361607,1.276786,1.339286,640337600,0.903156
1998-07-17,1.330357,1.330357,1.292411,1.316964,157388000,0.888103
1998-07-20,1.305804,1.308036,1.267857,1.294643,95972800,0.87305
1998-07-21,1.290179,1.321429,1.270089,1.272321,82376000,0.857998
1998-07-22,1.247768,1.272321,1.223214,1.25,70182000,0.842945
1998-07-23,1.243304,1.272321,1.241071,1.247768,63282800,0.84144
1998-07-24,1.263393,1.267857,1.207589,1.238839,67821600,0.835419
1998-07-27,1.223214,1.245536,1.1875,1.229911,53558400,0.829398
1998-07-28,1.216518,1.236607,1.178571,1.200893,56344400,0.809829
1998-07-29,1.205357,1.28125,1.203125,1.254464,111930000,0.845956
1998-07-30,1.279018,1.3125,1.267857,1.303571,90574400,0.879071
1998-07-31,1.308036,1.3125,1.232143,1.236607,45777200,0.833914
1998-08-03,1.223214,1.270089,1.1875,1.254464,75440400,0.845956
1998-08-04,1.267857,1.285714,1.214286,1.220982,73480400,0.823377
1998-08-05,1.205357,1.285714,1.196429,1.285714,113520400,0.867029
1998-08-06,1.252232,1.316964,1.245536,1.316964,109653600,0.888103
1998-08-07,1.328125,1.334821,1.285714,1.303571,74505200,0.879071
1998-08-10,1.296875,1.359375,1.294643,1.354911,122150000,0.913692
1998-08-11,1.348214,1.464286,1.334821,1.392857,439868800,0.939282
1998-08-12,1.419643,1.462054,1.410154,1.430804,172443600,0.964871
1998-08-13,1.426339,1.455357,1.40625,1.408482,97694800,0.949819
1998-08-14,1.453125,1.455357,1.410714,1.446429,112694400,0.975408
1998-08-17,1.464286,1.529018,1.424107,1.497768,232719200,1.010029
1998-08-18,1.515625,1.549107,1.508929,1.520089,151488400,1.025082
1998-08-19,1.553571,1.5625,1.464286,1.464286,121497600,0.98745
1998-08-20,1.464286,1.46875,1.4375,1.450893,97980400,0.978418
1998-08-21,1.428571,1.555804,1.392857,1.535714,203344400,1.035618
1998-08-24,1.551339,1.553571,1.433036,1.470982,152544000,0.991966
1998-08-25,1.513393,1.513393,1.439732,1.457589,123891600,0.982934
1998-08-26,1.424107,1.46875,1.410714,1.441964,101620400,0.972397
1998-08-27,1.401786,1.401786,1.272321,1.339286,278560800,0.903156
1998-08-28,1.325893,1.375,1.21875,1.220982,233063600,0.823377
1998-08-31,1.241071,1.245536,1.107143,1.113839,217056000,0.751124
1998-09-01,1.120536,1.263393,1.09375,1.21875,217268800,0.821872
1998-09-02,1.267857,1.334821,1.258929,1.270089,210750400,0.856492
1998-09-03,1.25,1.254464,1.214286,1.236607,102438000,0.833914
1998-09-04,1.267857,1.301339,1.205357,1.254464,94318000,0.845956
1998-09-08,1.357143,1.366071,1.3125,1.366071,100699200,0.921218
1998-09-09,1.359375,1.361607,1.321429,1.334821,88673200,0.900145
1998-09-10,1.294643,1.366071,1.276786,1.361607,131720400,0.918208
1998-09-11,1.375,1.415179,1.316964,1.34375,88071200,0.906166
1998-09-14,1.366071,1.386161,1.325893,1.328125,61768000,0.895629
1998-09-15,1.3125,1.377232,1.303571,1.363839,108413200,0.919713
1998-09-16,1.379464,1.383929,1.321429,1.332589,64719200,0.89864
1998-09-17,1.287946,1.325893,1.28125,1.285714,67323200,0.867029
1998-09-18,1.287946,1.3125,1.270089,1.3125,76269200,0.885092
1998-09-21,1.274554,1.319196,1.261161,1.319196,73967600,0.889608
1998-09-22,1.325893,1.34375,1.299107,1.321429,64484000,0.891113
1998-09-23,1.330357,1.370536,1.305804,1.368304,71979600,0.922724
1998-09-24,1.352679,1.412946,1.348214,1.375,120710800,0.92724
1998-09-25,1.363839,1.399554,1.34375,1.383929,57072400,0.933261
1998-09-28,1.419643,1.435268,1.357143,1.395089,101354400,0.940787
1998-09-29,1.395089,1.428571,1.361607,1.410714,76283200,0.951324
1998-09-30,1.383929,1.401786,1.357143,1.361607,41795600,0.918208
1998-10-01,1.3125,1.357143,1.263393,1.274554,92554000,0.859503
1998-10-02,1.267857,1.294643,1.21875,1.252232,118893600,0.844451
1998-10-05,1.214286,1.234375,1.125,1.149554,137970000,0.775209
1998-10-06,1.203125,1.225446,1.160714,1.162946,99965600,0.78424
1998-10-07,1.15625,1.189732,1.138393,1.140625,118339200,0.769187
1998-10-08,1.107143,1.113839,1.017857,1.100446,172303600,0.742093
1998-10-09,1.133929,1.258929,1.098214,1.254464,167059200,0.845956
1998-10-12,1.339286,1.372768,1.305804,1.337054,155724800,0.90165
1998-10-13,1.359375,1.399554,1.285714,1.383929,235407200,0.933261
1998-10-14,1.419643,1.475446,1.314732,1.334821,570004400,0.900145
1998-10-15,1.294643,1.330357,1.267857,1.308036,210168000,0.882082
1998-10-16,1.325893,1.359375,1.303571,1.310268,153890800,0.883587
1998-10-19,1.310268,1.359375,1.28125,1.339286,118944000,0.903156
1998-10-20,1.354911,1.363839,1.285714,1.287946,95522000,0.868535
1998-10-21,1.3125,1.337054,1.276786,1.325893,107654400,0.894124
1998-10-22,1.316964,1.34375,1.294643,1.3125,79343600,0.885092
1998-10-23,1.3125,1.316964,1.254464,1.267857,88995200,0.854987
1998-10-26,1.287946,1.348214,1.267857,1.337054,118960800,0.90165
1998-10-27,1.357143,1.390625,1.252232,1.258929,134548400,0.848966
1998-10-28,1.258929,1.321429,1.254464,1.314732,90927200,0.886598
1998-10-29,1.301339,1.337054,1.279018,1.301339,86144800,0.877566
1998-10-30,1.314732,1.339286,1.294643,1.325893,79410800,0.894124
1998-11-02,1.339286,1.348214,1.330357,1.34375,63442400,0.906166
1998-11-03,1.334821,1.366071,1.332589,1.350446,92612800,0.910682
1998-11-04,1.377232,1.397321,1.361607,1.381696,156970800,0.931755
1998-11-05,1.370536,1.40625,1.359375,1.363839,151779600,0.919713
